Date,Close,High,Low,Open,Volume,Daily_Return,MA_7,MA_30,MA_90,Volatility_7,Volatility_30,Daily_Range,Daily_Range_Pct,Month,Month_Name
2025-01-01,94419.7578125,94929.8671875,92788.125,93425.1015625,24519888919,,,,,,,2141.7421875,2.2683199333693485,2025-01,Jan
2025-01-02,96886.875,97739.8203125,94201.5703125,94416.2890625,46009564411,2.6129247147606893,,,,,,3538.25,3.6519394396815876,2025-01,Jan
2025-01-03,98107.4296875,98956.9140625,96034.6171875,96881.7265625,35611391163,1.2597729955682757,,,,,,2922.296875,2.978670304897748,2025-01,Jan
2025-01-04,98236.2265625,98734.4296875,97562.9765625,98106.9921875,22342608078,0.13128146911018934,,,,,,1171.453125,1.1924858740931954,2025-01,Jan
2025-01-05,98314.9609375,98813.3046875,97291.765625,98233.90625,20525254825,0.0801480042089242,,,,,,1521.5390625,1.5476170137190624,2025-01,Jan
2025-01-06,102078.0859375,102482.875,97926.1484375,98314.953125,51823432705,3.8276219245942267,,,,,,4556.7265625,4.463961604148785,2025-01,Jan
2025-01-07,96922.703125,102712.484375,96132.875,102248.8515625,58685738547,-5.050430525956884,97852.29129464286,,,,,6579.609375,6.788512043988662,2025-01,Jan
2025-01-08,95043.5234375,97258.3203125,92525.84375,96924.1640625,63875859171,-1.9388436629511285,97941.40066964286,,,2.9505126454461674,,4732.4765625,4.979273064946972,2025-01,Jan
2025-01-09,92484.0390625,95349.71875,91220.84375,95043.484375,62777261693,-2.6929603222076492,97312.42410714286,,,2.8877464373116277,,4128.875,4.464418987161382,2025-01,Jan
2025-01-10,94701.453125,95770.609375,92250.09375,92494.4921875,62058693684,2.3976181025154863,96825.85602678571,,,3.0396300777337006,,3520.515625,3.7174884955071805,2025-01,Jan
2025-01-11,94566.59375,94977.6875,93840.046875,94700.8359375,18860894100,-0.1424047578467369,96301.62276785714,,,3.032453883757537,,1137.640625,1.2030047608646157,2025-01,Jan
2025-01-12,94488.4375,95367.5390625,93712.5078125,94565.7265625,20885130965,-0.08264678561502592,95754.9765625,,,3.0278592517938914,,1655.03125,1.751570132588974,2025-01,Jan
2025-01-13,94516.5234375,95837.0,89260.1015625,94488.890625,72978998252,0.029724205673309356,94674.75334821429,,,2.3910168750222756,,6576.8984375,6.958464190495792,2025-01,Jan
2025-01-14,96534.046875,97352.6640625,94322.15625,94519.0078125,53769675818,2.1345722040169157,94619.23102678571,,,1.8855453264583837,,3030.5078125,3.139314998804664,2025-01,Jan
2025-01-15,100504.4921875,100697.234375,96501.640625,96534.046875,57805923627,4.11299996325778,95399.36941964286,,,2.227375402237433,,4195.59375,4.17453355435372,2025-01,Jan
2025-01-16,99756.90625,100781.5859375,97364.4453125,100505.296875,54103781805,-0.7438333563293043,96438.35044642857,,,1.7944242667165984,,3417.140625,3.425467722942741,2025-01,Jan
2025-01-17,104462.0390625,105884.2265625,99948.90625,100025.765625,71888972663,4.716598568833419,97832.71986607143,,,2.2339609643732743,,5935.3203125,5.681796340342235,2025-01,Jan
2025-01-18,104408.0703125,104913.203125,102226.6171875,104124.953125,50445655726,-0.051663504258914195,99238.64508928571,,,2.2235404998118606,,2686.5859375,2.5731592677260267,2025-01,Jan
2025-01-19,101089.609375,106299.796875,99570.53125,104411.2890625,76789928525,-3.1783567377192568,100181.66964285714,,,2.8088586485561673,,6729.265625,6.656733235596203,2025-01,Jan
2025-01-20,102016.6640625,109114.8828125,99471.359375,101083.75,126279678351,0.9170622908047932,101253.11830357143,,,2.777468953886461,,9643.5234375,9.452890394055567,2025-01,Jan
2025-01-21,106146.265625,107180.921875,100103.953125,102052.578125,88733878242,4.047967653568851,102626.29241071429,,,2.979647449597353,,7076.96875,6.667185800960674,2025-01,Jan
2025-01-22,103653.0703125,106294.34375,103360.265625,106136.3828125,53878181052,-2.3488299826845638,103076.08928571429,,,3.001012916626392,,2934.078125,2.8306716975716695,2025-01,Jan
2025-01-23,103960.171875,106820.328125,101257.8046875,103657.671875,104104515428,0.2962783076025932,103676.55580357143,,,2.9557351821677527,,5562.5234375,5.350629320032566,2025-01,Jan
2025-01-24,104819.484375,107098.546875,102772.125,103965.671875,52388229265,0.8265785680243276,103727.61941964286,,,2.365821365404868,,4326.421875,4.127497765131036,2025-01,Jan
2025-01-25,104714.6484375,105243.7890625,104120.375,104824.03125,23888996502,-0.10001569662844156,103771.41629464286,,,2.3663155863464183,,1123.4140625,1.072833724090208,2025-01,Jan
2025-01-26,102682.5,105438.6484375,102507.7109375,104713.2109375,22543395879,-1.9406534499448846,103998.97209821429,,,2.116566605832859,,2930.9375,2.8543690502276435,2025-01,Jan
2025-01-27,102087.6875,103214.109375,97795.9375,102680.3046875,89006608428,-0.5792734886665207,104009.11830357143,,,2.112657172233329,,5418.171875,5.307370563173938,2025-01,Jan
2025-01-28,101332.4765625,103730.8203125,100238.1875,102095.4140625,47180685494,-0.7397669160641884,103321.43415178571,,,1.1505721562431876,,3492.6328125,3.4467062594150737,2025-01,Jan
2025-01-29,103703.2109375,104750.8046875,101283.8203125,101317.5234375,47432049818,2.3395602825692086,103328.59709821429,,,1.3479614311153878,,3466.984375,3.34317939016323,2025-01,Jan
2025-01-30,104735.3046875,106418.765625,103321.6484375,103709.3359375,41915744521,0.9952379879751394,103439.33035714286,99912.44192708333,,1.3972839637400034,,3097.1171875,2.957089967648355,2025-01,Jan
2025-01-31,102405.0234375,106026.3515625,101543.8828125,104737.5625,45732764360,-2.2249243050878498,103094.40736607143,100178.61744791667,,1.5994880615487106,2.324546431393687,4482.46875,4.377196156530102,2025-01,Jan
2025-02-01,100655.90625,102755.7265625,100297.7109375,102402.796875,27757944848,-1.7080384621634526,102514.58705357143,100304.25182291666,,1.6760330241956465,2.3099236354782775,2458.015625,2.4419984048377685,2025-02,Feb
2025-02-02,97688.9765625,101430.6640625,96216.078125,100661.5390625,63091816853,-2.947596219670423,101801.2265625,100290.30338541667,,1.8494126227482868,2.36741864996244,5214.5859375,5.337947147152047,2025-02,Feb
2025-02-03,101405.421875,102514.171875,91242.890625,97681.1015625,115400897748,3.804365081173988,101703.76004464286,100395.94322916666,,2.5168572612442404,2.4666598436999783,11271.28125,11.11506765771739,2025-02,Feb
